pair,window_d,z_in,fees,trades,win%,net_med,net_total,fund_total,worst,hold_med_d,sharpe_tr
TSM/EWT,10,2.0,taker,39,51.28205128205128,112.46655792129476,3155.6824415395267,-3.0563999999999982,-187.386758543953,0.0625,0.6401679049589605
TSM/EWT,10,2.0,maker,39,69.23076923076923,128.46655792129476,3779.6824415395267,-3.0563999999999982,-171.386758543953,0.0625,0.7667537639909324
TSM/EWT,10,2.5,taker,26,26.923076923076923,-13.635499011390332,954.499183731466,-3.9659000000000004,-152.94752978116745,0.003472222222222222,0.2935067616923793
TSM/EWT,10,2.5,maker,26,53.84615384615385,2.364500988609668,1370.4991837314662,-3.9659000000000004,-136.94752978116745,0.003472222222222222,0.42142600452159107
EWY/SAMSUNG,5,2.0,taker,35,77.14285714285715,147.86163810991226,3451.168697354041,-47.74369999999999,-484.99737775680507,0.6493055555555556,0.3967494194146717
EWY/SAMSUNG,5,2.0,maker,35,77.14285714285715,163.86163810991226,4011.1686973540404,-47.74369999999999,-468.99737775680507,0.6493055555555556,0.46112751691032805
EWY/SAMSUNG,5,2.5,taker,21,61.904761904761905,109.55606410086563,1822.862262310373,-150.0402,-454.21162207596393,0.3958333333333333,0.3109575525979163
EWY/SAMSUNG,5,2.5,maker,21,66.66666666666666,125.55606410086563,2158.862262310373,-150.0402,-438.21162207596393,0.3958333333333333,0.3682749593121654
EWY/SAMSUNG,10,2.0,taker,22,81.81818181818183,234.69279169346595,4258.001097030692,-62.57919999999999,-305.59321923004285,0.5086805555555556,1.0437021007936576
EWY/SAMSUNG,10,2.0,maker,22,81.81818181818183,250.69279169346595,4610.001097030691,-62.57919999999999,-289.59321923004285,0.5086805555555556,1.1299827595129706
EWY/SAMSUNG,10,2.5,taker,13,76.92307692307693,284.51071557145934,2994.535852053621,-64.9564,-248.9117273206684,0.6631944444444444,0.9584801127126156
EWY/SAMSUNG,10,2.5,maker,13,76.92307692307693,300.51071557145934,3202.5358520536215,-64.9564,-232.9117273206684,0.6631944444444444,1.025055994015724
MU/DRAM,5,2.0,taker,114,32.45614035087719,-20.115569330296452,693.9856637958441,-11.885300000000004,-540.4551519891737,0.006944444444444444,0.048947186150790765
MU/DRAM,5,2.0,maker,114,44.73684210526316,-4.115569330296456,2517.9856637958433,-11.885300000000004,-524.4551519891737,0.006944444444444444,0.17759489776303888
MU/DRAM,5,2.5,taker,100,23.0,-25.2600295354474,-643.461969380925,-12.684100000000003,-492.9013177136217,0.003472222222222222,-0.0550035997991259
MU/DRAM,5,2.5,maker,100,37.0,-9.260029535447401,956.538030619075,-12.684100000000003,-476.9013177136217,0.003472222222222222,0.08176557051139272
MU/DRAM,10,2.0,taker,16,87.5,190.5020214240296,2716.274835493167,-11.12760000000001,-137.10367496361775,2.060763888888889,1.2560419940837055
MU/DRAM,10,2.0,maker,16,87.5,206.5020214240296,2972.274835493167,-11.12760000000001,-121.10367496361775,2.060763888888889,1.374419835045829
MU/DRAM,10,2.5,taker,8,87.5,190.37352436880158,1555.106050514401,-9.654700000000005,-70.81561933852345,1.5364583333333335,1.1110676380159468
MU/DRAM,10,2.5,maker,8,87.5,206.37352436880158,1683.106050514401,-9.654700000000005,-54.81561933852345,1.5364583333333335,1.2025190587206624
DRAM/SKHYNIX,5,2.0,taker,91,40.65934065934066,-15.39977151896252,1110.7686675801078,-441.9236,-487.9312542646494,0.006944444444444444,0.08985133205022326
DRAM/SKHYNIX,5,2.0,maker,91,50.54945054945055,0.6002284810374787,2566.7686675801074,-441.9236,-471.9312542646494,0.006944444444444444,0.20762881649271642
DRAM/SKHYNIX,5,2.5,taker,81,34.5679012345679,-21.642661969644053,824.8787310876793,-350.95709999999997,-435.3099723079955,0.006944444444444444,0.07125473749480132
DRAM/SKHYNIX,5,2.5,maker,81,44.44444444444444,-5.642661969644054,2120.878731087679,-350.95709999999997,-419.3099723079955,0.006944444444444444,0.18320590839175915
DRAM/SKHYNIX,10,2.0,taker,22,50.0,3.3835793378230434,1230.194021575391,-383.2296,-469.1658739815936,0.5364583333333333,0.22801475293920126
DRAM/SKHYNIX,10,2.0,maker,22,59.09090909090909,19.383579337823043,1582.194021575391,-383.2296,-453.1658739815936,0.5364583333333333,0.29325746394816554
DRAM/SKHYNIX,10,2.5,taker,16,31.25,-27.33447822753451,316.55045077247183,-342.6907,-469.1658739815936,0.05381944444444444,0.07887859208246588
DRAM/SKHYNIX,10,2.5,maker,16,50.0,-11.334478227534511,572.5504507724718,-342.6907,-453.1658739815936,0.05381944444444444,0.14266911749108516
MU/SKHYNIX,5,2.0,taker,111,42.34234234234234,-16.08424540575619,1472.0684258895621,-585.6478999999999,-617.5306416699179,0.003472222222222222,0.06866898975043438
MU/SKHYNIX,5,2.0,maker,111,49.549549549549546,-0.08424540575618744,3248.0684258895626,-585.6478999999999,-601.5306416699179,0.003472222222222222,0.15151576755770524
MU/SKHYNIX,5,2.5,taker,99,35.35353535353536,-24.133416767616126,-954.3667985833386,-300.36949999999996,-568.7807081290898,0.003472222222222222,-0.054934551709311476
MU/SKHYNIX,5,2.5,maker,99,43.43434343434344,-8.133416767616126,629.6332014166614,-300.36949999999996,-552.7807081290898,0.003472222222222222,0.036242477957601035
MU/SKHYNIX,10,2.0,taker,91,30.76923076923077,-18.245769769596457,2220.6541501496527,-239.42819999999998,-394.0673406895326,0.003472222222222222,0.13565230373353004
MU/SKHYNIX,10,2.0,maker,91,47.25274725274725,-2.245769769596456,3676.654150149653,-239.42819999999998,-378.0673406895326,0.003472222222222222,0.22459445360531868
MU/SKHYNIX,10,2.5,taker,84,26.190476190476193,-23.003721270411,-178.95393959163755,-152.8247,-279.89416331457846,0.003472222222222222,-0.015731072345738537
MU/SKHYNIX,10,2.5,maker,84,44.047619047619044,-7.003721270410996,1165.0460604083628,-152.8247,-263.89416331457846,0.003472222222222222,0.10241419610109584
SAMSUNG/SKHYNIX,5,2.0,taker,90,30.0,-27.078037183195512,-209.96315335397802,7.9441000000000095,-1287.0315936615548,0.003472222222222222,-0.01127818509563718
SAMSUNG/SKHYNIX,5,2.0,maker,90,40.0,-11.078037183195512,1230.0368466460218,7.9441000000000095,-1271.0315936615548,0.003472222222222222,0.06607151306943773
SAMSUNG/SKHYNIX,5,2.5,taker,82,24.390243902439025,-28.901545380013836,-1897.2382516303217,9.729599999999984,-1199.5252475652785,0.003472222222222222,-0.12803361425406318
SAMSUNG/SKHYNIX,5,2.5,maker,82,35.36585365853659,-12.901545380013836,-585.2382516303219,9.729599999999984,-1183.5252475652785,0.003472222222222222,-0.03949433788380058
SAMSUNG/SKHYNIX,10,2.0,taker,88,25.0,-24.91656936600598,-2504.478471381839,-44.82799999999999,-758.9181311380171,0.003472222222222222,-0.18311676302654697
SAMSUNG/SKHYNIX,10,2.0,maker,88,39.77272727272727,-8.91656936600598,-1096.4784713818387,-44.82799999999999,-742.9181311380171,0.003472222222222222,-0.08016982006515587
SAMSUNG/SKHYNIX,10,2.5,taker,87,24.137931034482758,-26.002393603459744,-1712.971786382734,-69.01010000000002,-604.036427774083,0.003472222222222222,-0.12750398964186224
SAMSUNG/SKHYNIX,10,2.5,maker,87,39.08045977011494,-10.002393603459742,-320.9717863827345,-69.01010000000002,-588.036427774083,0.003472222222222222,-0.02389133531072074
COHR/LITE,5,2.0,taker,108,32.407407407407405,-19.03392848620401,-1179.5147347069137,-12.239699999999997,-826.7651918118224,0.003472222222222222,-0.05861497762613921
COHR/LITE,5,2.0,maker,108,48.148148148148145,-3.0339284862040117,548.4852652930865,-12.239699999999997,-810.7651918118224,0.003472222222222222,0.027256506940890234
COHR/LITE,5,2.5,taker,99,26.262626262626267,-21.902276365860367,-1594.809997551246,-29.2271,-776.7846608769734,0.003472222222222222,-0.08753911257062823
COHR/LITE,5,2.5,maker,99,43.43434343434344,-5.902276365860367,-10.809997551245715,-29.2271,-760.7846608769734,0.003472222222222222,-0.0005933607100405118
COHR/LITE,10,2.0,taker,113,23.893805309734514,-18.08801662165957,-359.3936596826194,32.8772,-915.6954503594523,0.003472222222222222,-0.017189304463883694
COHR/LITE,10,2.0,maker,113,46.017699115044245,-2.0880166216595706,1448.6063403173807,32.8772,-899.6954503594523,0.003472222222222222,0.06928484897039486
COHR/LITE,10,2.5,taker,102,15.686274509803921,-20.246719553660057,-2960.6926200556827,27.1346,-915.6954503594523,0.003472222222222222,-0.17899592916038312
COHR/LITE,10,2.5,maker,102,40.19607843137255,-4.246719553660057,-1328.6926200556827,27.1346,-899.6954503594523,0.003472222222222222,-0.08032936904167305
AAOI/LITE,5,2.0,taker,45,53.333333333333336,6.1733394258053345,1084.309954052036,-28.3103,-1071.9971990357224,0.034722222222222224,0.0760938021695589
AAOI/LITE,5,2.0,maker,45,53.333333333333336,22.173339425805334,1804.309954052036,-28.3103,-1055.9971990357224,0.034722222222222224,0.1266213633685896
AAOI/LITE,5,2.5,taker,37,43.24324324324324,-31.798781507869464,18.942207456611186,-37.241899999999994,-997.5190592971835,0.013888888888888888,0.0015420451049608962
AAOI/LITE,5,2.5,maker,37,43.24324324324324,-15.798781507869466,610.942207456611,-37.241899999999994,-981.5190592971835,0.013888888888888888,0.04973551485910163
AAOI/LITE,10,2.0,taker,51,31.372549019607842,-25.61199786434633,-197.18215969087623,-15.116599999999998,-943.9124487011607,0.003472222222222222,-0.011812870919979474
AAOI/LITE,10,2.0,maker,51,41.17647058823529,-9.611997864346328,618.8178403091242,-15.116599999999998,-927.9124487011607,0.003472222222222222,0.037072396823384604
AAOI/LITE,10,2.5,taker,47,25.53191489361702,-29.892444556599877,-1613.7014463016926,-26.6124,-806.4718796047974,0.003472222222222222,-0.12498649084481585
AAOI/LITE,10,2.5,maker,47,36.17021276595745,-13.892444556599875,-861.7014463016927,-26.6124,-790.4718796047974,0.003472222222222222,-0.06674161455080932
AAOI/COHR,5,2.0,taker,42,57.14285714285714,73.57448805563237,2258.0063687665356,-36.6943,-1496.7535386203187,0.109375,0.1535259789442614
AAOI/COHR,5,2.0,maker,42,61.904761904761905,89.57448805563237,2930.0063687665356,-36.6943,-1480.7535386203187,0.109375,0.19921648685319227
AAOI/COHR,5,2.5,taker,37,51.35135135135135,12.753977479463082,2573.649159997296,-37.1984,-1496.7535386203187,0.041666666666666664,0.18017084415062068
AAOI/COHR,5,2.5,maker,37,56.75675675675676,28.75397747946308,3165.649159997296,-37.1984,-1480.7535386203187,0.041666666666666664,0.22161438719254775
AAOI/COHR,10,2.0,taker,58,29.310344827586203,-18.682407376834902,64.19520124696635,-47.1558,-1362.7262970010759,0.003472222222222222,0.003734908981316832
AAOI/COHR,10,2.0,maker,58,44.827586206896555,-2.6824073768348997,992.1952012469662,-47.1558,-1346.7262970010759,0.003472222222222222,0.05772641406793436
AAOI/COHR,10,2.5,taker,54,24.074074074074073,-21.493164392597503,-1241.35987867815,-31.260200000000005,-1201.9503199647083,0.003472222222222222,-0.08584744138279901
AAOI/COHR,10,2.5,maker,54,40.74074074074074,-5.493164392597503,-377.359878678149,-31.260200000000005,-1185.9503199647083,0.003472222222222222,-0.026096686884659468
