a,b,corr,n,halflife_h,spread_std_bps
CRWV,INTC,0.5612415267246819,499,226.8562142579262,1191.4135405557026
NBIS,SMCI,0.561205022213914,310,107.81635263556939,805.7803313187932
GLW,MU,0.5609313992052053,377,101.63196775673859,934.0756944530322
NBIS,SKHY,0.5608733907525038,202,84.26913702518223,703.866803825052
CIEN,TSM,0.5606221194536231,310,99.91757677602318,417.0109795674971
BE,TSM,0.5604368400313146,472,159.75261234917602,862.2033550279848
ASML,COHR,0.5604195095474684,377,194.0576821143882,1403.3783758375594
AVGO,EWY,0.5603972919070075,499,327.86026538598657,762.8390693431758
ARM,TXN,0.5603948479493011,251,88.644601733661,644.3434793401744
ORCL,QQQ,0.5596888891135852,499,935.7381001741046,1131.254436408948
LITE,TSM,0.5596366087218679,499,128.85721860391504,933.0740257502881
GEV,INTW,0.5596312649986684,203,65.45543271558462,396.8267317296783
KLAC,TER,0.5596111667924457,251,222.41028727525597,554.2495783563029
AXTI,DRAM,0.5595574172886935,395,248.9361139148925,2323.924668465561
AAOI,EWY,0.559260702556483,395,111.56431088798405,1357.167295110063
CRDO,SMCI,0.5591367884923083,310,156.3403344447194,763.158619011107
DELL,STXX,0.5591234138103149,377,340.9559469883823,601.5784356378841
MU,ONDS,0.5586256348263756,425,323.5069921300705,1095.78136113803
MVLL,USAR,0.5585426766503365,268,117.79749295121998,939.1051440451486
AAOI,USAR,0.5585258420141689,395,57.46056210880323,745.4738707229134
BE,CRWV,0.5585091151699684,472,112.19655670991683,1075.798488906214
AAOI,CRWV,0.5582577873690932,395,57.287783980473485,687.2999507672932
BE,GEV,0.5578846939592238,203,46.661732961900874,324.96923457244105
DRAM,FLEX,0.5577705515921684,251,29.07775495159827,269.0761364851239
AVGO,SPY,0.5575351912688182,499,141.72284025916383,412.894891756442
CBRS,INTW,0.5574053426330855,208,83.46901689159372,594.1275196564815
GLW,SKHY,0.5572720919607973,202,77.27402604608294,440.19925453430807
EWY,NVDA,0.5567672060773335,499,375.3222239878905,736.6935437899332
FLEX,GEV,0.5563799531245874,203,39.14231776910902,81.3184087065318
COHR,EWY,0.556253261836058,472,90.31807097201693,964.8626686881162
AXTI,INTC,0.5558046386125494,395,214.12934484735723,2000.2557839655506
EWT,LRCX,0.5556170655263958,310,122.40848752021476,338.9945422337225
MRVL,SMCI,0.5555294372559517,310,861.2753617321707,888.4681452405466
QCOM,WDC,0.5554811134668673,472,191.34158105533504,1081.1479069309828
AMAT,ARM,0.5553050938871523,395,172.704241184382,644.6804842627815
ONDS,SOXL,0.5552900834189786,425,513.5904924526794,1216.3905797216903
ASML,FLEX,0.5550780687426944,251,50.27263370159344,269.63368275413563
COHR,CRWV,0.5548545319137185,472,62.32833915129189,676.6371817781306
FLEX,INTC,0.5541212634985763,251,32.10768243821833,300.6877276196113
COHR,TSM,0.5539882924663894,472,163.3480618274609,1146.6739998471842
LITE,NBIS,0.5535322179782791,472,98.74940897833538,892.9836101835863
SPY,TSM,0.5532875060461773,499,117.74179470268668,446.71932986264846
CRDO,GLW,0.5530084371688794,377,177.7038234145354,487.35356731390215
AVGO,MRVL,0.5527147004860861,499,404.4093823380511,1312.7574442495898
APP,FLNC,0.552360134574963,203,69.21837210585466,510.83482925743226
MRVL,ONDS,0.5520257713923582,425,421.00507189468726,844.5779701955989
GEV,INTC,0.5516873467752902,203,50.89175639894342,246.7895725631202
INTC,NBIS,0.5514685323120262,472,66.37668895391879,840.6754384671576
NBIS,QQQ,0.5509160156861513,472,128.46998898096257,1060.798897018891
HPE,LITE,0.5507809370492103,395,119.64294798904493,645.2411239903299
DELL,SNDK,0.550780521104114,425,1806.1832298102315,746.977739421604
BE,COHR,0.5507226128641096,472,82.66936354492182,899.5372376654681
EWT,SNDK,0.5505823207713627,436,432.09406578646366,780.4258108836975
ARM,SKHYNIX,0.5505384325374583,433,109.04570705473219,850.8490721049089
FLEX,SKHY,0.5503207116618247,202,40.069008923582615,352.02536048943307
