a,b,corr,n,halflife_h,spread_std_bps
SNXX,TQQQ,0.7229883134434878,208,160.28905218360038,1254.3927063813842
MVLL,WDC,0.7228426561910071,268,234.45369122216837,2665.3577101928895
TER,TQQQ,0.722203799641397,251,140.04353289565475,512.348202853522
CIEN,SOXL,0.7213997352351337,310,99.43265197640316,898.0709672563366
EWY,INTW,0.7213608850328553,208,68.91605525798472,392.74982859736707
SAMSUNG,SOXL,0.7211511025425741,433,197.89871103428894,900.8320077038612
LRCX,MU,0.7210956067638663,310,38.31804115018376,442.42248838012955
AMD,ASML,0.7205462888920033,377,58.98428562939014,459.6659354814926
AVGO,TQQQ,0.7204936854641475,268,224.02999918872513,539.1431129541512
QQQ,TER,0.7201622035289984,251,60.42395721776219,284.0284450623435
COIN,HOOD,0.7198762905692456,499,259.6528402033079,1043.2625502330407
INTC,QQQ,0.7190807683952205,499,306.09781960364444,1077.040666703719
MU,TQQQ,0.7190486108016023,268,80.15356693518707,381.18571465861254
EWY,MVLL,0.7189932711007894,268,160.21146770504504,1680.6353172733607
TQQQ,TSM,0.718102409738477,268,103.6141079252403,522.2865640790093
ASML,MVLL,0.7175300463155382,268,166.84774953086597,1776.4941354516006
AAOI,SOXL,0.7168707932221531,395,214.96979187785564,924.8127771677097
QQQ,TSM,0.7163639114214263,499,73.99757633127223,330.709431011146
COIN,CRCL,0.7160069377937434,499,382.45745620701604,929.6643369872755
SAMSUNG,SNXX,0.7150822027001691,208,172.09009960396938,799.4953964722404
AMD,SNDK,0.7150500601183044,499,478.46800328149294,1164.3049104097613
ADBE,CRM,0.7147756734541584,377,100.75951725080365,211.34778248842656
AMD,CRDO,0.7143601422720698,395,239.85685122704845,1069.7664597692901
CRDO,TER,0.7130708670491922,251,148.82522509716017,814.1683229720371
AMD,TSM,0.7125409185745697,499,69.91757523760802,474.01987724015464
LITE,SOXL,0.712518991496068,499,485.1627703561363,1500.3195180780278
SNXX,TER,0.7124815660240433,208,202.5647579190764,1109.401112848696
CIEN,MVLL,0.7116299041745747,268,154.88590271019794,1509.656773699297
AMD,EWY,0.7115779072310792,499,233.14041100700533,647.3007802277946
BE,SNXX,0.710861923042126,208,211.3897453123062,1068.7630808439003
ASML,TSM,0.7108112142378576,377,56.40965626051598,328.1488034047771
LITE,SNXX,0.7101176498560203,208,198.91991369550766,1364.4894770280644
INTC,MU,0.7095061919594883,499,110.06241345288751,501.77259211080684
LRCX,QQQ,0.709266784499551,310,148.12643764375733,506.1801910825782
SNXX,TSM,0.708855238849683,208,151.9120548373121,1177.0160406711932
ARM,INTW,0.7076943233098433,208,41.43671621327881,275.45755155597584
ALAB,INTC,0.7072074202594862,310,71.48229317085999,489.0885567071557
NBIS,SNXX,0.7071753471439873,208,219.5277899932432,623.5792071955464
EWT,TQQQ,0.706982007972826,268,75.22939927179502,381.89884652281853
INTW,SAMSUNG,0.7063634744045966,208,73.4319232198049,577.9738383829792
AXTI,COHR,0.7058510804803617,395,180.00023193298122,1471.2649035017703
DRAM,TSM,0.7053568558488604,499,242.6082936082865,754.654353885672
AMAT,INTW,0.7051462964369748,208,52.03421398145175,305.264580301935
BE,TER,0.7049811501898909,251,138.9254330562886,426.05956200782794
ASML,QQQ,0.7047923138056901,377,66.11087930817234,288.31910341398634
AMAT,TQQQ,0.7047801360446966,268,71.099149117985,297.11927836405545
INTW,SKHY,0.7043576915838959,202,71.46540568466793,469.7813574699385
MVLL,STXX,0.7038882659569989,268,211.88331872178202,2142.065886059085
CIEN,TER,0.7031741064002311,251,144.35159475365236,377.21133988931126
CRDO,QQQ,0.7030669358151701,395,113.71766000525052,943.6009171039103
BE,INTW,0.7029421716740377,208,59.333519349060836,335.0376121991484
AAOI,INTW,0.7027888614324225,208,108.65502654073376,340.8555710584301
SNDK,STXX,0.7024053889244948,377,380.2774927618708,846.5419016518395
CRDO,TSM,0.7020569538032939,395,97.69152900434553,775.6802373914687
INTW,LRCX,0.7019539127796622,208,53.16849493781306,396.60955377986517
INTC,SKHY,0.7017112845693944,202,64.90179765647788,458.2080664916556
SKHYNIX,SNXX,0.7008285101527215,208,132.75558941359898,791.2168018240246
AMD,LRCX,0.7005848147308278,310,134.22060961546612,735.598319104005
CRDO,MU,0.7002156599464819,395,134.6206483935729,685.3571467140599
DRAM,INTC,0.7002127715601671,499,76.32640003649816,468.6398069990195
EWT,QQQ,0.6991997713266525,436,61.91109418071774,239.24317309729423
ALAB,LRCX,0.6987496070980661,310,95.51174568240809,631.6136764685565
LRCX,WDC,0.6983185506537635,310,148.55499615402945,1119.1231819356105
ALAB,LITE,0.6974245566416883,310,835.4884032311784,674.3446511339803
MU,TER,0.6970895928348988,251,161.27089234445992,351.13319735710394
DRAM,EWT,0.6966264546548045,436,277.31252523818176,397.1537473016937
ASML,TQQQ,0.696054583242465,268,123.74243263865966,459.74585944508874
NVDA,QQQ,0.6960136312818195,499,193.93855717692216,379.1597544633997
