symbol,underlyingType,fundingTime,fundingRate,markPrice
INTCUSDT,EQUITY,1780012800001,0.00014355,121.00000000
INTCUSDT,EQUITY,1780041600001,0.00012997,121.10502968
INTCUSDT,EQUITY,1780070400001,0.00043918,117.99255648
INTCUSDT,EQUITY,1780099200001,0.00043104,115.56000000
INTCUSDT,EQUITY,1780128000001,0.00012147,116.05000000
INTCUSDT,EQUITY,1780156800001,0.00000000,115.54000000
INTCUSDT,EQUITY,1780185600001,0.00000000,116.34618323
INTCUSDT,EQUITY,1780214400001,0.00000000,115.56778976
INTCUSDT,EQUITY,1780243200001,0.00000000,115.65543327
INTCUSDT,EQUITY,1780272000001,0.00000000,115.95000000
INTCUSDT,EQUITY,1780300800001,0.00004202,113.92309323
INTCUSDT,EQUITY,1780329600001,0.00022920,111.03000000
INTCUSDT,EQUITY,1780358400001,0.00030854,108.77000000
INTCUSDT,EQUITY,1780387200001,0.00041315,107.48000000
INTCUSDT,EQUITY,1780416000001,0.00031149,108.41000000
INTCUSDT,EQUITY,1780444800001,0.00005747,106.22000000
INTCUSDT,EQUITY,1780473600001,0.00037778,108.54969973
INTCUSDT,EQUITY,1780502400001,0.00011166,112.36000000
INTCUSDT,EQUITY,1780531200001,0.00000000,110.66468531
INTCUSDT,EQUITY,1780560000001,0.00006211,112.75000000
INTCUSDT,EQUITY,1780588800001,0.00000000,110.48183987
INTCUSDT,EQUITY,1780617600001,0.00000000,109.88478409
INTCUSDT,EQUITY,1780646400001,0.00000000,108.51290893
INTCUSDT,EQUITY,1780675200001,0.00000000,103.67000000
INTCUSDT,EQUITY,1780704000001,0.00000000,96.92180296
INTCUSDT,EQUITY,1780732800001,0.00000000,95.29000000
INTCUSDT,EQUITY,1780761600001,0.00000000,96.83000000
INTCUSDT,EQUITY,1780790400002,0.00005165,97.98744088
INTCUSDT,EQUITY,1780819200001,0.00056634,100.02456827
INTCUSDT,EQUITY,1780848000001,0.00017981,100.41000000
INTCUSDT,EQUITY,1780876800001,0.00000000,101.14058121
INTCUSDT,EQUITY,1780905600001,0.00000000,100.12000000
INTCUSDT,EQUITY,1780934400001,0.00012331,111.43000000
INTCUSDT,EQUITY,1780963200001,0.00000000,109.89000000
INTCUSDT,EQUITY,1780992000001,0.00000000,112.31000000
INTCUSDT,EQUITY,1781020800001,0.00000000,103.81000000
INTCUSDT,EQUITY,1781049600001,0.00000000,107.11000000
INTCUSDT,EQUITY,1781078400001,0.00000000,106.21723703
INTCUSDT,EQUITY,1781107200001,0.00000000,107.38842390
INTCUSDT,EQUITY,1781136000001,0.00000000,105.11000000
INTCUSDT,EQUITY,1781164800001,0.00000000,109.75000000
INTCUSDT,EQUITY,1781193600001,0.00009898,113.06000000
INTCUSDT,EQUITY,1781222400001,0.00001980,118.61815277
INTCUSDT,EQUITY,1781251200001,0.00028008,116.60124176
