symbol,fundingTime,fundingRate,markPrice,rateType,ts,rate
SKHYNIXUSDT,1782057600001,0.00000000,1914.24088095,Regular,2026-06-21 16:00:00+00:00,0.0
SKHYNIXUSDT,1782086400001,-0.00295553,1845.38000000,Regular,2026-06-22 00:00:00+00:00,-0.00295553
SKHYNIXUSDT,1782115200001,0.00402973,1896.33000000,Regular,2026-06-22 08:00:00+00:00,0.00402973
SKHYNIXUSDT,1782144000001,0.00000000,1926.12416251,Regular,2026-06-22 16:00:00+00:00,0.0
SKHYNIXUSDT,1782172800001,0.00000000,1931.95000000,Regular,2026-06-23 00:00:00+00:00,0.0
SKHYNIXUSDT,1782201600002,0.00580329,1677.12830759,Regular,2026-06-23 08:00:00+00:00,0.00580329
SKHYNIXUSDT,1782230400001,0.00032709,1720.03410559,Regular,2026-06-23 16:00:00+00:00,0.00032709
SKHYNIXUSDT,1782259200001,0.00000000,1701.71000000,Regular,2026-06-24 00:00:00+00:00,0.0
SKHYNIXUSDT,1782288000001,0.00243107,1708.69000000,Regular,2026-06-24 08:00:00+00:00,0.00243107
SKHYNIXUSDT,1782316800001,-0.00112959,1691.58940110,Regular,2026-06-24 16:00:00+00:00,-0.00112959
SKHYNIXUSDT,1782345600002,0.00603242,1845.32169281,Regular,2026-06-25 00:00:00+00:00,0.00603242
SKHYNIXUSDT,1782374400001,0.00000000,1901.13690827,Regular,2026-06-25 08:00:00+00:00,0.0
SKHYNIXUSDT,1782403200001,-0.00058133,1884.06823277,Regular,2026-06-25 16:00:00+00:00,-0.00058133
SKHYNIXUSDT,1782432000001,-0.00036501,1850.79000000,Regular,2026-06-26 00:00:00+00:00,-0.00036501
SKHYNIXUSDT,1782460800002,0.00458019,1755.24000000,Regular,2026-06-26 08:00:00+00:00,0.00458019
SKHYNIXUSDT,1782489600001,0.00030982,1770.23000000,Regular,2026-06-26 16:00:00+00:00,0.00030982
SKHYNIXUSDT,1782518400001,0.00000000,1758.46908900,Regular,2026-06-27 00:00:00+00:00,0.0
SKHYNIXUSDT,1782547200001,0.00000000,1762.80000000,Regular,2026-06-27 08:00:00+00:00,0.0
SKHYNIXUSDT,1782576000001,0.00000000,1768.96000000,Regular,2026-06-27 16:00:00+00:00,0.0
SKHYNIXUSDT,1782604800002,0.00000000,1760.73859166,Regular,2026-06-28 00:00:00+00:00,0.0
SKHYNIXUSDT,1782633600002,0.00012761,1764.40129379,Regular,2026-06-28 08:00:00+00:00,0.00012761
SKHYNIXUSDT,1782662400001,0.00039503,1806.40200690,Regular,2026-06-28 16:00:00+00:00,0.00039503
SKHYNIXUSDT,1782691200001,-0.00157443,1748.88000000,Regular,2026-06-29 00:00:00+00:00,-0.00157443
SKHYNIXUSDT,1782720000001,0.00288018,1695.84000000,Regular,2026-06-29 08:00:00+00:00,0.00288018
SKHYNIXUSDT,1782748800001,-0.00129015,1682.43000000,Regular,2026-06-29 16:00:00+00:00,-0.00129015
SKHYNIXUSDT,1782777600000,0.00023107,1714.78807046,Regular,2026-06-30 00:00:00+00:00,0.00023107
SKHYNIXUSDT,1782806400000,0.00073258,1718.92000000,Regular,2026-06-30 08:00:00+00:00,0.00073258
SKHYNIXUSDT,1782835200001,0.00017477,1728.98000000,Regular,2026-06-30 16:00:00+00:00,0.00017477
SKHYNIXUSDT,1782864000000,0.00000000,1741.37724500,Regular,2026-07-01 00:00:00+00:00,0.0
SKHYNIXUSDT,1782892800001,0.00238242,1645.15053413,Regular,2026-07-01 08:00:00+00:00,0.00238242
SKHYNIXUSDT,1782921600001,-0.00199192,1595.67424912,Regular,2026-07-01 16:00:00+00:00,-0.00199192
SKHYNIXUSDT,1782950400000,-0.00169160,1539.14000000,Regular,2026-07-02 00:00:00+00:00,-0.0016916
SKHYNIXUSDT,1782979200001,0.00534933,1438.69178290,Regular,2026-07-02 08:00:00+00:00,0.00534933
SKHYNIXUSDT,1783008000001,-0.00149748,1439.59395493,Regular,2026-07-02 16:00:00+00:00,-0.00149748
SKHYNIXUSDT,1783036800001,0.00074962,1435.07564382,Regular,2026-07-03 00:00:00+00:00,0.00074962
SKHYNIXUSDT,1783065600001,0.00024412,1578.06509330,Regular,2026-07-03 08:00:00+00:00,0.00024412
SKHYNIXUSDT,1783094400001,0.00000000,1590.52942576,Regular,2026-07-03 16:00:00+00:00,0.0
SKHYNIXUSDT,1783123200001,0.00054917,1622.65000000,Regular,2026-07-04 00:00:00+00:00,0.00054917
SKHYNIXUSDT,1783152000001,0.00000000,1607.70387913,Regular,2026-07-04 08:00:00+00:00,0.0
SKHYNIXUSDT,1783180800001,0.00000000,1604.93089107,Regular,2026-07-04 16:00:00+00:00,0.0
SKHYNIXUSDT,1783209600002,0.00000000,1606.82074585,Regular,2026-07-05 00:00:00+00:00,0.0
SKHYNIXUSDT,1783238400001,0.00000000,1615.75932960,Regular,2026-07-05 08:00:00+00:00,0.0
SKHYNIXUSDT,1783267200001,0.00000000,1623.12565787,Regular,2026-07-05 16:00:00+00:00,0.0
SKHYNIXUSDT,1783296000001,0.00000000,1605.96256035,Regular,2026-07-06 00:00:00+00:00,0.0
SKHYNIXUSDT,1783324800001,0.00247467,1534.78628354,Regular,2026-07-06 08:00:00+00:00,0.00247467
SKHYNIXUSDT,1783353600001,0.00000000,1556.10000000,Regular,2026-07-06 16:00:00+00:00,0.0
SKHYNIXUSDT,1783382400001,-0.00187311,1505.27000000,Regular,2026-07-07 00:00:00+00:00,-0.00187311
SKHYNIXUSDT,1783411200001,0.00661515,1432.03898135,Regular,2026-07-07 08:00:00+00:00,0.00661515
SKHYNIXUSDT,1783440000001,-0.00087944,1421.82000000,Regular,2026-07-07 16:00:00+00:00,-0.00087944
SKHYNIXUSDT,1783468800002,-0.00176129,1400.68000000,Regular,2026-07-08 00:00:00+00:00,-0.00176129
SKHYNIXUSDT,1783497600001,0.00386943,1390.75598006,Regular,2026-07-08 08:00:00+00:00,0.00386943
SKHYNIXUSDT,1783526400001,0.00139656,1396.81028529,Regular,2026-07-08 16:00:00+00:00,0.00139656
SKHYNIXUSDT,1783555200001,0.00102242,1483.44000000,Regular,2026-07-09 00:00:00+00:00,0.00102242
SKHYNIXUSDT,1783584000001,0.00473872,1477.50149439,Regular,2026-07-09 08:00:00+00:00,0.00473872
SKHYNIXUSDT,1783612800001,0.00112086,1535.79254508,Regular,2026-07-09 16:00:00+00:00,0.00112086
