hl,seg,bars,dev_std,dev_p99,dev_hl_bars,p_gt10,p_gt20,p_gt50,conv20_n,conv20_med_min
NBIS,DEAD,1228,6.236439251083506,17.204671229986722,0.6927403852366315,0.10749185667752444,0.004885993485342019,0.0,6,5.0
NBIS,PRE,858,5.842686939008459,17.190372743878605,0.617858177651604,0.09324009324009325,0.005827505827505828,0.0,5,5.0
NBIS,RTH,1014,8.03851996716216,24.543273610311473,0.42476697301497796,0.1863905325443787,0.023668639053254437,0.0,22,5.0
NBIS,WKND,1200,18.97664750902264,25.627823323126716,1.9365925799118757,0.09166666666666666,0.02,0.0025,6,12.5
NVDA,AH,624,2.993813849471728,7.899439425631757,3.51461274900602,0.0,0.0,0.0,0,
NVDA,DEAD,1221,2.5832930989908096,6.383458056478877,2.9155899818755735,0.0,0.0,0.0,0,
NVDA,PRE,858,2.048536990340063,5.188128702250089,1.268419424701284,0.0011655011655011655,0.0,0.0,0,
NVDA,RTH,1014,2.990534794006307,8.746872218353326,1.6074351301749799,0.0029585798816568047,0.0,0.0,0,
NVDA,WKND,1220,2.5172422550027473,6.673778793439299,3.617723886179847,0.000819672131147541,0.0,0.0,0,
SMSN,KRX,972,9.96450609037959,25.917155802916987,4.192947920701863,0.29732510288065844,0.08436213991769548,0.0,12,32.5
SMSN,KR_AH,390,11.526238822846198,28.923115227291532,6.951918658520724,0.36153846153846153,0.10512820512820513,0.0,4,87.5
SMSN,KR_DEAD,2183,11.90113618770814,40.45664732659008,7.030208890615208,0.26339899221255153,0.09207512597343105,0.0018323408153916628,14,32.5
SMSN,KR_PRE,156,13.833641471503721,39.506482922319805,9.306872812249383,0.38461538461538464,0.1346153846153846,0.0,1,120.0
SMSN,WKND,1204,7.134354485989179,27.271326151447365,5.328469966564944,0.11627906976744186,0.02159468438538206,0.0,2,37.5
GOOGL,AH,622,2.638571888893951,6.741849754280273,1.744116138862365,0.0,0.0,0.0,0,
GOOGL,DEAD,1216,2.6543051810818503,7.370347388781514,2.2016611692561967,0.0,0.0,0.0,0,
GOOGL,PRE,858,2.357766612218467,6.598008373231408,0.9892940984567357,0.0011655011655011655,0.0011655011655011655,0.0,1,5.0
GOOGL,RTH,1014,2.882079774431966,7.1929323385804,1.42080763820312,0.0029585798816568047,0.0,0.0,0,
GOOGL,WKND,1215,2.3917752452050274,5.923003404862272,2.876300631561718,0.0,0.0,0.0,0,
EWY,AH,620,4.9365294491539355,12.9618705229926,2.5944536556394073,0.056451612903225805,0.0,0.0,0,
EWY,DEAD,1199,4.241623176244806,12.501240125126078,0.7335535324262497,0.0316930775646372,0.0,0.0,0,
EWY,PRE,858,3.4769166042767345,9.205239267098912,0.7017837128035725,0.008158508158508158,0.0,0.0,0,
EWY,RTH,1014,4.446237973483371,12.835495248704607,1.040422982169166,0.026627218934911243,0.0009861932938856016,0.0,1,5.0
EWY,WKND,1141,4.177819664448923,11.833018844677445,1.7319543438060607,0.02366345311130587,0.0,0.0,0,
