type,key,t_in,t_out,days,notional,prem_in,prem_out,dir,basis_bps,fund_bps,cost_bps,net_bps,pnl_usd,open_at_end
A,POPMART@BN,2026-07-29 06:05:00+00:00,2026-07-30 06:30:00+00:00,1.02,52338.3753964125,100.1,-1.1,1,101.2,34.3,36.0,99.5,521.0,
A,MU@HL,2026-07-29 19:50:00+00:00,2026-07-30 15:05:00+00:00,0.8,1500000.0,67.1,-31.8,1,98.9,5.3,50.12221654742574,54.1,8114.0,
A,SHAZ@HL,2026-07-29 19:50:00+00:00,2026-07-30 15:05:00+00:00,0.8,327225.90284148324,129.3,-83.4,1,212.7,31.4,87.34863896176167,156.7,5127.0,
A,BOT@BN,2026-07-30 14:30:00+00:00,2026-07-30 17:55:00+00:00,0.14,58149.7990289325,21.7,-5.1,1,26.7,0.0,16.0,10.7,62.0,
A,SAMSUNG@BN,2026-07-27 01:10:00+00:00,2026-07-31 02:55:00+00:00,4.07,1500000.0,51.1,-5.9,1,57.0,177.2,34.0,200.1,30021.0,
A,BNC@BN,2026-07-22 14:40:00+00:00,2026-07-31 16:25:00+00:00,9.07,57439.567042104,24.9,-3.6,1,28.5,210.7,16.0,223.2,1282.0,
A,SHAZ@BN,2026-07-31 18:30:00+00:00,2026-08-03 14:30:00+00:00,2.83,93311.00316,-25.2,13.0,-1,38.2,15.4,16.0,36.9,344.0,
A,BOT@BN,2026-07-31 14:30:00+00:00,2026-08-03 15:35:00+00:00,3.05,61322.89313346,29.7,-16.5,1,46.2,0.4,16.0,30.6,188.0,
A,ZHIPU@BN,2026-08-03 07:05:00+00:00,2026-08-04 06:05:00+00:00,0.96,731028.443525247,52.0,-8.4,1,60.3,24.1,36.0,48.5,3542.0,
A,BABA@HL,2026-07-31 15:50:00+00:00,2026-08-04 14:30:00+00:00,3.94,1385000.0,39.8,-0.8,1,40.6,16.0,24.992875117801876,31.6,4371.0,
A,BOT@BN,2026-08-04 16:05:00+00:00,2026-08-04 19:35:00+00:00,0.15,64550.85051,32.9,-3.5,1,36.5,0.0,16.0,20.5,132.0,
A,GEV@BN,2026-07-27 18:10:00+00:00,2026-08-05 14:55:00+00:00,8.86,62996.15471999999,24.0,-2.3,1,26.3,7.1,16.0,17.4,110.0,
